epoch,val_loss,accuracy,f1_macro,auc_macro,sensitivity_macro,specificity_macro
1,0.1993,0.4878,0.0594,0.7065,0.0661,0.9514
2,0.1967,0.4473,0.0604,0.7095,0.0618,0.9603
3,0.1940,0.4154,0.0539,0.7144,0.0544,0.9667
4,0.1999,0.5085,0.0626,0.7174,0.0704,0.9460
5,0.1906,0.3726,0.0595,0.7227,0.0533,0.9727
6,0.1959,0.3299,0.0720,0.7191,0.0612,0.9690
7,0.1906,0.4458,0.0612,0.7243,0.0611,0.9616
8,0.1954,0.4206,0.0562,0.7230,0.0561,0.9663
9,0.1939,0.5043,0.0679,0.7216,0.0727,0.9479
10,0.1930,0.4504,0.0766,0.7236,0.0708,0.9593
