epoch,val_loss,thr,accuracy,f1_macro,auc_macro,sensitivity_macro,specificity_macro
1,0.8963,0.55,0.4167,0.1402,0.6717,0.2245,0.8963
2,0.8512,0.55,0.3041,0.1534,0.6749,0.2923,0.8595
3,0.8356,0.60,0.2613,0.1663,0.7129,0.3176,0.8647
4,0.7947,0.55,0.3427,0.1786,0.7362,0.3344,0.8664
5,0.8139,0.55,0.2540,0.1721,0.7312,0.4155,0.8099
6,0.7835,0.60,0.3200,0.1915,0.7473,0.3012,0.8943
7,0.7638,0.55,0.2683,0.1974,0.7566,0.3971,0.8622
8,0.7757,0.55,0.1861,0.1880,0.7491,0.4020,0.8480
9,0.7559,0.60,0.2705,0.2107,0.7638,0.3592,0.8918
10,0.7663,0.60,0.3631,0.2177,0.7706,0.3639,0.8951
11,0.7430,0.60,0.3482,0.2248,0.7761,0.3946,0.8881
12,0.7520,0.60,0.3334,0.2194,0.7761,0.3769,0.8926
13,0.7389,0.60,0.2652,0.2233,0.7771,0.4136,0.8867
14,0.7549,0.60,0.3693,0.2293,0.7775,0.3406,0.9076
15,0.7344,0.60,0.3657,0.2307,0.7851,0.3767,0.8963
16,0.7353,0.55,0.3905,0.2371,0.7872,0.4255,0.8812
17,0.7326,0.60,0.3325,0.2336,0.7864,0.4235,0.8851
18,0.7227,0.60,0.3111,0.2347,0.7901,0.4295,0.8912
19,0.7255,0.55,0.3752,0.2445,0.7933,0.4281,0.8864
20,0.7291,0.60,0.3836,0.2496,0.7915,0.3928,0.9048
21,0.7237,0.60,0.2885,0.2377,0.7919,0.4225,0.8904
22,0.7150,0.60,0.3442,0.2504,0.7957,0.4062,0.9019
23,0.7212,0.60,0.3172,0.2383,0.7970,0.4456,0.8880
24,0.7193,0.60,0.3294,0.2348,0.7985,0.4533,0.8864
25,0.7191,0.60,0.3092,0.2480,0.7938,0.4226,0.8916
26,0.7218,0.60,0.3227,0.2494,0.7964,0.3957,0.9071
27,0.7152,0.60,0.3413,0.2575,0.7978,0.4308,0.9021
28,0.7184,0.60,0.3850,0.2752,0.7958,0.3952,0.9157
29,0.7189,0.60,0.3683,0.2637,0.7998,0.4437,0.8948
30,0.7147,0.60,0.3545,0.2716,0.8001,0.4456,0.9012
