epoch,val_loss,thr_mode,accuracy,f1_macro,auc_macro
1,0.2008,per-class,0.0397,0.0129,0.5427
2,0.0188,per-class,0.4265,0.0631,0.7341
3,0.0178,per-class,0.4434,0.0791,0.7646
4,0.0176,per-class,0.4383,0.0811,0.7681
5,0.0178,per-class,0.4364,0.0805,0.7691
6,0.0177,per-class,0.4431,0.0813,0.7757
7,0.0174,per-class,0.4317,0.0964,0.7876
8,0.0173,per-class,0.4402,0.0972,0.7916
9,0.0172,per-class,0.4389,0.0977,0.7956
10,0.0172,per-class,0.4319,0.1090,0.8039
11,0.0171,per-class,0.4409,0.1244,0.8069
12,0.0170,per-class,0.4166,0.1178,0.8083
13,0.0171,per-class,0.4435,0.1296,0.8106
14,0.0170,per-class,0.4397,0.1245,0.8115
15,0.0170,per-class,0.4334,0.1186,0.8110
16,0.0172,per-class,0.4571,0.1282,0.8023
17,0.0175,per-class,0.4154,0.1219,0.8034
18,0.0176,per-class,0.4575,0.1302,0.8085
19,0.0173,per-class,0.4523,0.1154,0.8054
20,0.0169,per-class,0.4518,0.1284,0.8114
21,0.0174,per-class,0.4347,0.1193,0.8143
22,0.0198,per-class,0.4161,0.1157,0.8067
23,0.0176,per-class,0.4369,0.1077,0.8149
24,0.0175,per-class,0.4379,0.1071,0.8108
25,0.0209,per-class,0.4451,0.1072,0.8057
26,0.0196,per-class,0.4414,0.1062,0.8016
27,0.0193,per-class,0.4397,0.1051,0.8053
28,0.0567,per-class,0.4138,0.0970,0.7954
29,0.0331,per-class,0.4303,0.0973,0.7913
30,0.0384,per-class,0.4104,0.0959,0.7885
31,0.0496,per-class,0.4351,0.0971,0.7833
32,nan,per-class,0.4243,0.0993,0.7800
33,0.0805,per-class,0.4415,0.0951,0.7806
34,0.0556,per-class,0.4376,0.0965,0.7799
35,0.0786,per-class,0.4327,0.0908,0.7801
36,0.0187,per-class,0.4455,0.1218,0.7963
37,0.0182,per-class,0.4554,0.1210,0.7846
38,0.0182,per-class,0.4409,0.1151,0.7837
39,0.0189,per-class,0.4532,0.1106,0.7801
40,0.0198,per-class,0.4453,0.1060,0.7766
41,0.0206,per-class,0.4429,0.0998,0.7781
42,0.0199,per-class,0.4119,0.1148,0.7754
43,0.0205,per-class,0.4174,0.1098,0.7760
44,0.0214,per-class,0.4113,0.0928,0.7584
45,0.0215,per-class,0.4264,0.1070,0.7632
46,0.0217,per-class,0.4163,0.1052,0.7630
47,0.0236,per-class,0.4125,0.0948,0.7562
48,0.0246,per-class,0.4018,0.1073,0.7529
49,0.0245,per-class,0.4230,0.1064,0.7468
50,0.0262,per-class,0.4045,0.0989,0.7460
1,0.0370,per-class,0.4179,0.0523,0.6393
2,0.0377,per-class,0.4437,0.0666,0.7169
3,0.0303,per-class,0.4331,0.0968,0.7776
4,0.0300,per-class,0.4473,0.0913,0.7862
5,0.0301,per-class,0.4350,0.0916,0.7859
6,0.0303,per-class,0.4473,0.0960,0.7903
7,0.0303,per-class,0.4565,0.1055,0.7978
8,0.0299,per-class,0.4489,0.1155,0.8033
9,0.0293,per-class,0.4451,0.1190,0.8138
10,0.0295,per-class,0.4391,0.1239,0.8166
11,0.0292,per-class,0.4544,0.1290,0.8178
12,0.0295,per-class,0.4449,0.1263,0.8199
13,0.0294,per-class,0.4427,0.1285,0.8199
14,0.0302,per-class,0.4309,0.1215,0.8178
15,0.0314,per-class,0.4355,0.1216,0.8164
16,0.0296,per-class,0.4323,0.1190,0.8191
17,0.0298,per-class,0.4392,0.1273,0.8169
18,0.0293,per-class,0.4436,0.1347,0.8152
19,0.0304,per-class,0.4569,0.1372,0.8175
20,0.0303,per-class,0.4343,0.1251,0.8135
